station_name,station_code,electric_bikes,mechanical_bikes,total_bikes_available,capacity,coordinates
Commandant Rivière,8033,13,14,27,42,"[48.872933, 2.309796]"
Paul Vaillant Couturier - Chaptal,23001,9,26,35,39,"[48.893479576183, 2.2775253653526]"
Square Cambronne,15010,10,47,57,59,"[48.84756654526, 2.3025691509247]"
Gare de Laplace,41102,13,10,23,43,"[48.80893199114179, 2.3349460959434514]"
Félix Faure - Sadi Carnot,33009,2,10,12,33,"[48.90812110228388, 2.378623187541962]"
Place Violet,15033,1,29,30,45,"[48.844878938365, 2.2905756533146]"
Ouest - Château,14034,4,0,4,23,"[48.83617286014242, 2.319392143923804]"
Place aux Étoiles,32010,29,3,32,40,"[48.91835629408464, 2.3523425683379173]"
Pirogues de Bercy - Libourne,12034,11,7,18,49,"[48.832308, 2.38637]"
Grands Moulins de Pantin,19044,14,8,22,50,"[48.89738369720229, 2.3959985375404362]"
Victor Hugo - Magasins Généraux,33001,16,9,25,34,"[48.903281401126755, 2.368072383105755]"
Carnot - Pâquerettes,41404,10,0,10,26,"[48.79592939432515, 2.4261841177940373]"
Jules Ferry - Faubourg du Temple Paris,11036,1,33,34,58,"[48.868397, 2.3678933]"
Gare du Nord - Place de Valenciennes,10152,8,0,8,44,"[48.879089, 2.354235]"
Jussieu - Guy de la Brosse,5119,17,21,38,40,"[48.845665, 2.355653]"
René Boulanger - Lancry,10206,1,21,22,33,"[48.868769331741, 2.3598745346052]"
Courcelles - Place des Ternes,8055,3,1,4,31,"[48.878199928923124, 2.2992860188665043]"
Parc Pierre Lagravère,27002,12,12,24,30,"[48.92650488131725, 2.239069678491417]"
Guichet - Jean Jaurès,21109,3,3,6,28,"[48.905169868129036, 2.3023840785026555]"
Parvis Robert Schuman - Roger Salengro,23701,7,7,14,24,"[48.812657470558754, 2.1921751275658607]"
Navier - Epinettes,17007,2,1,3,54,"[48.89587780769155, 2.3226776719093327]"
Anatole France - Jean Lolive,35019,0,17,17,28,"[48.8949922, 2.4253764]"
Champeaux - Gallieni,31705,15,1,16,50,"[48.864459134684644, 2.4161778017878532]"
Ménilmontant - Pelleport,20036,0,0,0,32,"[48.870682633845, 2.3989596023316]"
Petit - Manin,19019,0,2,2,22,"[48.886506875343, 2.3938155401308]"
Parc Monceau,17018,1,0,1,18,"[48.881077914129, 2.3095492646098]"
Gare d'Asnières sur Seine,26001,8,12,20,24,"[48.90636459217474, 2.2835066914558415]"
Henri Chevreau - Couronnes,20136,1,0,1,27,"[48.87033205312931, 2.388777695596218]"
Pascal - Claude Bernard,5026,3,36,39,49,"[48.839061952159746, 2.3499782010912895]"
Porte d'Orléans,14018,2,0,2,48,"[48.8227639, 2.3249313]"
Pierre et Marie Curie - Julien Grimau,31702,0,0,0,18,"[48.870714014863225, 2.424097023904324]"
Raspail - Varenne,7004,8,8,16,18,"[48.853147816545, 2.3263905197382]"
Pierre Grenier - Pont de Billancourt,21013,0,3,3,21,"[48.8258020742942, 2.2487989068031315]"
Vladimir Ilitch Lénine - Andrée Chedid,42503,0,0,0,31,"[48.813240124373, 2.3319716067039]"
Professeur René Leriche - Général Leclerc,21111,3,7,10,50,"[48.90782845483013, 2.307887971401215]"
Uzès - Montmartre,2010,7,7,14,29,"[48.870790980240706, 2.3431010171771054]"
Ledru-Rollin - Charonne,11114,3,21,24,32,"[48.85345855607243, 2.3772463581947094]"
Quai Voltaire,7006,11,17,28,32,"[48.858942986179, 2.3314182047146]"
Saint-François-Xavier,7014,9,13,22,42,"[48.85154484769, 2.3146149516106]"
Sommerard - Saint-Jacques,5002,12,21,33,34,"[48.850310432924, 2.3450158352986]"
Parc de Belleville - Julien Lacroix,20040,0,0,0,26,"[48.8703459, 2.3842214]"
Gare de l'Est - Verdun,10023,2,0,2,14,"[48.876156054271, 2.3609149083206]"
Capitaine Glarner - Gabriel Péri,34002,2,10,12,27,"[48.902449900418745, 2.3304807533425724]"
Place Jean Delay,13026,2,0,2,35,"[48.823316, 2.354336]"
Pont de Levallois-bécon,23002,18,22,40,50,"[48.8984179, 2.2791311]"
Vasco de Gama,15055,3,37,40,54,"[48.83671783466264, 2.283664085650799]"
Jonquoy - Didot,14130,2,1,3,30,"[48.82890454823947, 2.31648076325655]"
Lucien Sampaix - Récollets,10015,2,1,3,46,"[48.874330377560476, 2.3621229082345963]"
Place du Général de Gaulle,41207,2,1,3,28,"[48.8525288, 2.4877332]"
Mézières - Rennes,6103,4,17,21,55,"[48.85023459321703, 2.3303819820284843]"
Place Adolphe Cherioux - Vaugirard,15038,2,5,7,63,"[48.83959442800459, 2.3010657727718353]"
Raspail - Bac,7005,26,23,49,52,"[48.855628721101, 2.3256602883339]"
Michelet - Assas,6018,11,0,11,18,"[48.842741502832, 2.3350211977959]"
Morice - Général Leclerc,21105,3,1,4,25,"[48.90245471981591, 2.3128929734230046]"
Sèvres-Gallieni,21032,1,21,22,27,"[48.837809408957, 2.2281519323587]"
Tanger - Place du Maroc,19109,1,0,1,19,"[48.8862524447104, 2.3689296841621403]"
Vincennes - Douy-Delcupe,31019,1,3,4,38,"[48.85493692155721, 2.436049282550812]"
Place du Cornillon - Stade de France,32014,4,6,10,34,"[48.92540695835961, 2.3644426837563515]"
